Narrator,Location
Kay Aiko Abe,Washington
Art Abe,Washington
Sharon Tanagi Aburano,Washington
Toshiko Aiboshi,California
Yae Aihara,Washington
Nelson Takeo Akagi,California
Tom Akashi,California
Mas Akiyama,Idaho
Sab Akiyama,Oregon
Sumie Suguro Akizuki,Washington
Harry Akune,
Kenjiro Akune,
Gene Akutsu,Washington
Jim Akutsu,Washington
Dorothy Almojuela,British
Alice Matsumoto Ando,Oregon
Emery Brooks Andrews,Washington
Margie Nahmias Angel,Washington
Dan Aoki,
Nancy K. Araki,California
Sam Araki,California
Sakaye Aratani,California
Terry Aratani,Mississippi
Yoshiko Asakura,Japan
Setsuko Izumi Asano,California
George Azumano,Oregon
Peggie Nishimura Bain,Washington
Dennis Bambauer,California
Lorraine Bannai,California
Paul Bannai,Colorado
Yone Bartholomew,California
Gerald L. Beppu,Washington
June Yasuno Aochi (Yamashiro) Berk,California
Marion Michiko Bernardo,California
Angela Berry,Washington
Bob Berry,California
Ernest Besig,
Kazuko Uno Bill,Washington
Mabel Shoji Boggs,Oregon
David R. Boyd,Washington
"Robert ""Bob"" Bratt",Maryland
Bill Braye,California
Nikki Bridges,
"Harold ""Hal"" Champeness",Washington
Connie Thorson Chandler,Colorado
Joanne Chiedi,Verification
Michiko Frances Chikahisa,California
Ben Chikaraishi,California
Helen Harano Christ,California
Diana Morita Cole,Oregon
Robert Coombs,California
Patricia Cooper,
Tink Cooper,Georgia
Jack Dairiki,California
Jun Dairiki,California
Roger Daniels,University
Eleanor Davis,Washington
Russell Demo,California
Pam Rouse Dixon,Virginia
Florence Ohmura Dobashi,California
Perry Dobashi,California
Joan Ritchie Doi,California
Lisa Doi,Illinois
Roy Doi,California
Tonko Doi,California
Yoneko Dozono,Oregon
Chester Earls,Washington
Roy Ebihara,
Seiko Edamatsu,Washington
Tomiko Hayashida Egashira,Washington
Sue K. Embrey,California
Art Emi,
Frank Emi,California
Chiyo Endo,
Kay Endo,Oregon
Phyllis Fechner,California
Takayo Tsubouchi Fischer,California
Michael J. Forrester,
Tsuchino Forrester,Fukuoka
Joseph Frisino,Maryland
Bob Fuchigami,California
George Fugami,Oregon
Aya Fujii,Oregon
Ed Fujii,Oregon
Frank S. Fujii,Washington
"Susie ""Jinx"" Fujii",Oregon
Ann Fujikawa,California
Ayako Nishi Fujimoto,California
George Fujimoto,California
Robert Katsuto Fujioka,California
Francis Mas Fukuhara,Washington
Frank Fukuhara,
Henry Fukuhara,California
Gerald Fukui,California
Mitsu Fukui,Washington
Hanako Hoshiyama Fukumoto,California
Taira Fukushima,California
Yuriko Furubayashi,Chinese
Peggy S. Furukawa,California
Howard H. Furumoto,Hawaii
Angela Noel Gantt,Delaware
Kena Gimba,Oregon
Jean Shiraki Gize,California
Nancy Nakata Gohata,California
Kikuno Goi,
Mitsuo Goi,
Kazie Good,California
Kenji Goto,Hawaii
Fumiko Uyeda Groves,Washington
Marietta Boyd Gruner,Washington
Ted Hachiya,Oregon
Mae Hada,Oregon
Haruye Murakami Hagiwara,Hawaii
Ted Hamachi,California
Mary Hamano,California
Charles Oihe Hamasaki,California
George Hanada,California
Geri Handa,California
Art Hansen,Santa
Earl Hanson,Washington
George Hara,Oregon
Mae Kanazawa Hara,Washington
Yoneko Hara,Oregon
Taneyuki Dan Harada,California
Catherine Embree Harris,Hawaii
Jessie Hatsue Akiyama Okazaki Harry,Oregon
Junkoh Harui,Washington
Mitsuko Hashiguchi,Washington
Chikaye Sande Azeka Hashimoto,California
Mas Hashimoto,California
Kajiko Hashisaki,Washington
Natsuko Hashitani,Washington
Bill Hashizume,British
Grace Hata,California
Ike Hatchimonji,California
Clara S. Hattori,California
Grace Sugita Hawley,Hawaii
John Y. Hayakawa,California
Susan Hayase,
Fumi Hayashi,California
Matsuko Hayashi,California
Norm Hayashi,California
Fumiko Hayashida,Washington
Seichi Hayashida,Washington
Elaine Ishikawa Hayes,California
"John ""Jack"" Herzig",
Aiko Herzig-Yoshinaga,California
Jane Hidaka,California
Richard Iwao Hidaka,California
May Ota Higa,Washington
Hatsuko Mary Higuchi,California
Dan Hinatsu,Oregon
Massie Hinatsu,Oregon
Lily C. Hioki,California
Bill Hirabayashi,Washington
Gordon Hirabayashi,Washington
Grant Hirabayashi,Washington
Jim Hirabayashi,Washington
PJ Hirabayashi,California
Roy M. Hirabayashi,California
Shyoko Hiraga,Colorado
Alice Setsuko Sekino Hirai,California
Izumi Hirano,Hawaii
Fred Hirasuna,California
Frank H. Hirata,Washington
Mary Hirata,Washington
Frank Hiratsuka,California
Margaret Junko Morita Hiratsuka,Washington
George Hiromoto,California
Sachi Hiromoto,California
Steve Hiromoto,
Carol Hirabara Hironaka,California
Norman I. Hirose,California
Tokio Hirotaka,Washington
Mika Hiuga,Oregon
William Hohri,California
Yuriko Hohri,California
Mutsu Homma,Iwate
Edward K. Honda,
Tamiko Honda,California
June M. Hoshida Honma,Hawaii
Takashi Hori,Washington
Sam Horino,California
Lillian Horita,Oregon
Bernadette Suda Horiuchi,Washington
Lucius Horiuchi,Washington
Maynard Horiuchi,California
Hideo Hoshide,Washington
Akio Hoshino,Washington
Fred Y. Hoshiyama,California
Takashi Hoshizaki,California
Bill Hosokawa,Oregon
Christie O. Ichikawa,California
Satoru Ichikawa,California
Yasashi Ichikawa,Japan
Mary Suzuki Ichino,California
Sumi Ikata,Oregon
Kay Ikeda,California
Tom Ikeda,Washington
"Tsuguo ""Ike"" Ikeda",Oregon
Victor Ikeda,Washington
Ronald Ikejiri,California
Dorothy Ikkanda,California
Tom Ikkanda,California
Art Imagire,California
Gloria Toshiko Imagire,California
Shig Imai,
Ryo Imamura,Washington
Satsuki Ina,California
Eddie M. Inaba,California
Hiro Heidi Inahara,Oregon
Toshio Inahara,Washington
Yutaka Inokuchi,Hawaii
Daniel Inouye,Hawaii
Ruby Inouye,Washington
Shizue Irei,Japan
Lilly Kobayashi Irinaga,Oregon
Taeko Joanne Iritani,California
Peter Irons,Massachusetts
George Iseri,Washington
Yasuko Miyoshi Iseri,California
Art Ishida,California
Joe Ishikawa,California
Dorothy Michiko Ishimatsu,California
"Sunao ""Phil"" Ishio",California
Gary M. Itano,
Betty Fumiye Ito,Washington
James O. Ito,California
Mitsu Ito,British
Susumu Ito,California
Toshi Nagamori Ito,California
Toshio Ito,Washington
Willie K. Ito,California
Kazuko Iwahashi,California
Nancy Iwami,California
Mary Iwasaki,Oregon
Susumu Iwasaki,California
Chizuko Iyama,California
Ernie Iyama,
George Izumi,
Toshiro Izumi,California
Kitako Izumizaki,California
Pramila Jayapal,India
Lisa Johnson,Virginia
James T. Johnston,
William R. Johnston,
Melvyn Juhler,California
Shizuko Kadoguchi,British
Akira Kageyama,California
Glenn H. Kageyama,California
Keiko Kageyama,California
Jane Kaihatsu,Illinois
Bruce T. Kaji,California
Frances Midori Tashiro Kaji,California
Hitoshi H. Kajihara,
Jim Kajiwara,California
Lily Kajiwara,Oregon
Alice Kale,
Isao Kameshige,California
Noboru Kamibayashi,Washington
Yoshiko Kanazawa,California
John Kanda,Washington
Kay Uno Kaneko,California
Kiyoko Morey Kaneko,California
"William ""Bill"" Kaneko",Hawaii
Marion Tsutakawa Kanemoto,Washington
Sachi Kaneshiro,California
Miyoko Kaneta,California
Mary T. Karatsu,California
Fumi Kaseguma,Oregon
Shig Kaseguma,Washington
Louise Kashino,Washington
Genro Kashiwa,Hawaii
Betty Fujimoto Kashiwagi,California
Hiroshi Kashiwagi,California
Sadako Nimura Kashiwagi,California
George Katagiri,Oregon
Chris Kato,Washington
Michiko Hara Kawaguchi,California
Harry Kawahara,California
Dave Kawamoto,California
Frank S. Kawana,Washington
Yukio Kawaratani,California
Hope Omachi Kawashima,California
"Larry ""Shorty"" Kazumura",Hawaii
Hiroki Kimiko Keaveney,California
Daryl Keck,Kansas
Barbara Reiko Mikami Keimi,California
Hal Keimi,California
Shigeo Kihara,California
Shigeya Kihara,
Emiko Namba Kikkawa,Oregon
Frank Isamu Kikuchi,Seattle
Isao Kikuchi,California
George Kikuta,California
Grace Watanabe Kimura,California
"Robert ""Rusty"" Kimura",California
Eugene Tatsuru Kimura,Wyoming
Joe Kino,Washington
Ami Kinoshita,Washington
Cherry Kinoshita,Washington
Kaz Kinoshita,Oregon
Lucy Kirihara,Oregon
Iku Kiriyama,California
Masamizu Kitajima,Hawaii
Molly Enta Kitajima,British
Frank Kitamoto,Washington
"Shimako ""Sally"" Kitano",Washington
Sox Kitashima,California
Ted Kitayama,Washington
"Yoichi ""Cannon"" Kitayama",Oregon
Minoru Kiyota,Washington
Shoichi Kobara,California
Kenge Kobayashi,California
Ryoko Kobayashi,Washington
Thomas T. Kobayashi,Washington
Yuri Kochiyama,California
Lilly Kodama,Washington
Tats Kojima,Washington
Karlene Koketsu,California
Jane Komeiji,Hawaii
Richard Konda,California
Kara Kondo,Washington
Bessie Yoshida Konishi,Colorado
Frank Konishi,Colorado
Gladys Koshio Konishi,Colorado
Fred Korematsu,California
Kathryn Korematsu,South
Michiko Kornhauser,Japan
Richard Kosaki,Hawaii
George Koshi,Colorado
Mits Koshiyama,California
Nob Koura,Washington
Spady Koyama,Washington
Sumiko Sakai Kozawa,California
Orest Kruhlak,Alberta
Gloria Kubota,California
Jack Y. Kubota,California
Sadaichi Kubota,Hawaii
"Emlei ""Emi"" Kuboyama",Hawaii
Elsa Kudo,Illinois
Alan Kumamoto,California
Jack Y. Kunitomi,
Kats Kunitsugu,
Tadashi Kuniyuki,Washington
Rokuro Kurihara,California
Ben Kuroki,Nebraska
Shige Kuroki,
Yosh Kuromiya,California
Akiko Kurose,Washington
Marian Asao Kurosu,Washington
Jun Kurumada,
Tommy T. Kushi,California
Sat Kuwamoto,California
Dorothy Kuwaye,California
Hannah Lai,Washington
Yukiko Llewellyn,
James Lovell,Nebraska
Angus Macbeth,California
Arnold T. Maeda,California
Don Maeda,Washington
George Maeda,California
Molly K. Maeda,Oregon
Ron Magden,Idaho
Yoshi Mamiya,Washington
Helen Amerman Manning,
Kenji Maruko,California
John Kats Marumoto,California
William Marutani,Washington
Dave T. Maruya,California
Kiyo Maruyama,California
Marion I. Masada,California
Saburo Masada,California
Amy Iwasaki Mass,California
Nori Masuda,California
Harriet Sato Masunaga,Hawaii
Charlie Matsubara,California
Mary Matsubara,
Jimmie S. Matsuda,Oregon
Hisa Matsudaira,Washington
George S. Matsui,California
Mitsue Matsui,California
Takashi Matsui,Oregon
George Matsumoto,California
Jean Matsumoto,Oregon
Roy H. Matsumoto,California
Yoshio Matsumoto,California
Fred Matsumura,Hawaii
Spark M. Matsunaga,
David Matsuoka,California
Jim Matsuoka,Califonia
Kay Matsuoka,California
Tom Matsuoka,Hawaii
Walter N. Matsuoka,California
Yoji J. Matsushima,Oregon
Yoshimi Matsuura,California
Mae Matsuzaki,California
Joe Matsuzawa,Washington
James C. McNaughton,Defense
Aya Uenishi Medrud,Washington
Mara Mihara,Washington
Katsugo Miho,Hawaii
Peggy Yamato Mikuni,California
Dale Minami,California
Takeshi Minato,California
Tom I. Mine,California
Helene J. Minehira,Hawaii
Norman Mineta,California
Janice Mirikitani,California
Nellie Mitani,Arizona
Edward H. Mitsukado,Hawaii
Rin Miura,Japan
"Alfred ""Al"" Miyagishima",Nebraska
Nancy Sawada Miyagishima,California
Yukiko Miyahara,California
Yukiko Miyake,Washington
Nobuko Miyake-Stoner,Japan
Shig Miyaki,California
Frank Miyamoto,Washington
Herbert Y. Miyasaki,Hawaii
Archie Miyatake,California
Henry Miyatake,Washington
Kazuko Miyoshi,California
Taka Mizote,Oregon
Robert Mizukami,Washington
Junko Mizuta,Oregon
Yoshito Mizuta,Washington
Yasu Koyamatsu Momii,Washington
Mary Montoya,Texas
Osamu Mori,California
Ramsay Yosuke Mori,Japan
Helen Mori,California
Tomio Moriguchi,Washington
George Morihiro,Washington
Kiyo Nikaido Morimoto,California
George H. Morishita,California
Shig Moritani,Washington
Tatsukichi Moritani,Washington
Toshio Moritsugu,Hawaii
Hikaru Morohoshi,California
Susumu Mukushina,California
Ayako Murakami,Washington
George Murakami,California
Judy Murakami,Oregon
Masako Murakami,Washington
Masako Murakami(1),California
Richard Murakami,Washington
Richard M. Murakami,California
Roy Murakami,California
Frank Muramatsu,Oregon
Take Murayama,Japan
Peggy A. Nagae,Oregon
Fred Nagai,Washington
Miyoko Sakai Nagai,California
Paul Nagano,California
George Kazuharu Naganuma,Texas
Jimmy Naganuma,Texas
Kazumu Naganuma,Texas
Ted Nagata,California
"Hitoshi ""Hank"" Naito",California
Marian Uyematsu Naito,California
Sam Naito,Oregon
Irene Najima,California
John Nakada,California
Giro Nakagawa,Washington
Mako Nakagawa,Washington
Mark M. Nakagawa,California
Miyoko Tsuboi Nakagawa,Oregon
Roy Nakagawa,Montana
Yosh Nakagawa,Washington
Rose Nakagawa,Washington
Masahiro Nakajo,California
Grace Shinoda Nakamura,California
Mary Haruka Nakamura,California
Robert A. Nakamura,California
"Tetsujiro ""Tex"" Nakamura",California
Yosh Nakamura,California
Bert Nakano,Hawaii
George Nakano,California
Henry Nakano,California
Hiroshi Nakano,
James A. Nakano,Hawaii
Kenichi Nakano,
Lillian Nakano,Hawaii
Stanley Nakano,
Yaeko Nakano,Washington
Isami Nakao,Washington
Kazuko Nakao,Washington
Mollie Nakasaki,California
Hiroko Nakashima,Washington
Kimiko Nakashima,California
George Nakata,Oregon
Gerald Nakata,Washington
Takeshi Nakayama,California
May Y. Namba,Washington
Rose Niguma,Oregon
Flora Ninomiya,California
Henry Nishi,California
Nancy Nishi,California
Mo Nishida,California
Eiko Nishihara,California
Yoshiko Nishihara,California
Arthur Nishimoto,Hawaii
Bill Nishimura,California
Hiro Nishimura,Washington
James Nishimura,Washington
Ko Nishimura,California
Alan Nishio,Berkeley
Esther Takei Nishio,California
Mitsue Nishio,Washington
Alice Nishitani,Idaho
Martha Nishitani,Washington
Doris Nitta,California
Ujinobu Niwa,California
Yoshino Grace Fukuhara Niwa,
Andy Noguchi,
Thomas T. Noguchi,Marilyn
Fumiko M. Noji,Washington
Tetsuo Nomiyama,California
Mary Kageyama Nomura,California
"Shoso ""Sho"" Nomura",
